,Label,badge_id,Description,Emoji,Score (Raw),Score (Decimal),Probability,Rarity,107734,word_1,type_1,word_2,type_2,word_3,type_3,word_4,type_4,word_5,type_5,word_6,type_6,word_7,type_7
180,Gap One,GAP_ONE,The first and last digits differ by exactly 1.,↕️,529,529,18.90%,Common,,near,adj,away,adv,close,adj,,,,,,,,
181,Two Pair,TWO_PAIR,Contains two distinct pairs of matching digits.,👯‍♀️,447,447,22.40%,Common,,both,adj,,,,,,,,,,,,
182,Hopscotch,HOPSCOTCH,A digit appears at every other position (2 times).,🦘,312,312,32.00%,Common,,,,,,,,,,,,,,,
183,Ghost,GHOST,"Contains exactly one ""0"".",👻,309,309,32.40%,Common,,there,adv,here,adv,,,,,,,,,,
184,Quartet,QUARTET,Uses exactly four different digits.,🎻,290,290,34.50%,Common,,,,,,,,,,,,,,,
185,Hydrogen (1),HYDROGEN,"Contains exactly one ""1"".",💧,282,282,35.40%,Common,,first,adj,,,,,,,,,,,,
186,Helium (2),HELIUM,"Contains exactly one ""2"".",🎈,282,282,35.40%,Common,,up,adv,light,adj,,,,,,,,,,
187,Carbon (6),CARBON,"Contains exactly one ""6"".",✏️,282,282,35.40%,Common,,a,art,dark,adj,,,,,,,,,,
188,Oxygen (8),OXYGEN,"Contains exactly one ""8"".",💨,282,282,35.40%,Common,,alive,adj,free,adj,pure,adj,rare,adj,pure,adj,,,,
189,Lithium (3),LITHIUM,"Contains exactly one ""3"".",🔋,282,282,35.40%,Common,,bright,adj,the,art,,,,,,,,,,
190,Beryllium (4),BERYLLIUM,"Contains exactly one ""4"".",💎,282,282,35.40%,Common,,rare,adj,so,adv,precious,adj,clear,adj,hard,adj,,,,
191,Boron (5),BORON,"Contains exactly one ""5"".",🧼,282,282,35.40%,Common,,hard,adj,strong,adj,tough,adj,firm,adj,,,,,,
192,Nitrogen (7),NITROGEN,"Contains exactly one ""7"".",❄️,282,282,35.40%,Common,,cold,adj,still,adv,deep,adj,,,,,,,,
193,Fluorine (9),FLUORINE,"Contains exactly one ""9"".",🦷,282,282,35.40%,Common,,sharp,adj,thin,adj,,,,,,,,,,
194,Grounded,GROUNDED,The first digit is smaller than the last.,⚓,250,250,40.00%,Common,,down,adv,deep,adj,firm,adj,,,,,,,,
195,Contiguous Pair,CONTIGUOUS_PAIR,Contains a contiguous pair of matching digits.,🫂,249,249,40.20%,Common,,close,adj,together,adv,tight,adj,,,,,,,,
196,Lucky Seven,LUCKY_7,Contains the number 7.,7️⃣,213,213,46.90%,Common,,lucky,adj,a,art,bright,adj,,,,,,,,
197,Even,EVEN,Divisible by 2.,⚖️,200,200,50.00%,Common,,the,art,even,adj,smooth,adj,,,,,,,,
198,Odd,ODD,Not divisible by 2.,🦄,200,200,50.00%,Common,,a,art,odd,adj,not,adv,,,,,,,,
199,Liftoff,LIFTOFF,The first digit is larger than the last.,🚀,200,200,50.00%,Common,,the,art,up,adv,high,adj,,,,,,,,
200,Void,VOID,Contains no zeros.,🕳️,167,167,59.80%,Common,,no,adv,empty,adj,barren,adj,,,,,,,,
201,Neighbors,NEIGHBORS,Contains two digits that are adjacent in value.,🏘️,161,161,62.10%,Common,,near,adj,next,adj,warm,adj,,,,,,,,
202,Pair,PAIR,Contains a pair of matching digits.,👯,120,120,83.10%,Common,,the,art,together,adv,both,adj,,,,,,,,
203,Six Digits,SIX_DIGITS,Has exactly six digits.,🐝,111,111,90.00%,Common,,the,art,full,adj,vast,adj,,,,,,,,
